,bedroom_count,bath_count,finished_sq_feet,year_built,fips,home_value
0,2,1.0,1412.0,1947,6037,222671.0
1,3,2.0,1296.0,1955,6037,64968.0
2,3,1.0,1044.0,1947,6037,126800.0
3,3,2.0,1336.0,1955,6037,213833.0
4,3,2.0,1510.0,1979,6037,338022.0
5,3,2.0,1540.0,1955,6037,139081.0
6,3,2.0,2573.0,1949,6037,572000.0
7,3,1.0,1097.0,1951,6037,390333.0
8,3,2.0,1437.0,1954,6037,279219.0
9,3,3.0,1778.0,1951,6037,263032.0
10,3,1.0,1300.0,1913,6037,218095.0
11,3,2.0,1379.0,1955,6037,461335.0
12,3,1.0,1065.0,1951,6037,172633.0
13,3,2.0,1678.0,1953,6037,357142.0
14,2,1.0,1184.0,1949,6037,47874.0
15,3,1.0,1100.0,1947,6037,89885.0
16,3,2.0,1300.0,1955,6037,267494.0
17,4,3.0,1689.0,1952,6037,240974.0
18,5,3.0,2307.0,1951,6037,226062.0
19,4,2.0,1833.0,1950,6037,225875.0
20,3,2.0,1270.0,2002,6037,254855.0
21,3,2.0,1428.0,1960,6037,346320.0
22,3,1.0,1206.0,1951,6037,168196.0
23,3,2.0,1262.0,1953,6037,185719.0
24,3,2.0,2416.0,1954,6037,266617.0
25,3,2.0,1217.0,1954,6037,62912.0
26,3,2.0,1342.0,1953,6037,390328.0
27,3,2.0,1116.0,1952,6037,388000.0
28,3,2.0,1422.0,1952,6037,270430.0
29,3,2.0,1833.0,1951,6037,292128.0
30,3,1.0,1111.0,1951,6037,240574.0
31,3,2.0,1492.0,1952,6037,338073.0
32,3,2.0,1315.0,1949,6037,66636.0
33,3,2.0,1176.0,1949,6037,282827.0
34,3,1.0,1014.0,1949,6037,287502.0
35,3,1.0,1056.0,1948,6037,362435.0
36,3,2.0,1494.0,1949,6037,223647.0
37,3,1.0,1056.0,1948,6037,324166.0
38,3,1.0,1410.0,1949,6037,155733.0
39,4,3.0,2164.0,1969,6037,488200.0
40,3,1.0,1040.0,1951,6037,59600.0
41,2,2.0,1372.0,1951,6037,259953.0
42,6,3.0,2399.0,1963,6037,353854.0
43,4,2.0,1640.0,1953,6037,198427.0
44,2,1.0,799.0,1939,6037,230854.0
45,4,2.0,1649.0,1943,6037,146786.0
46,3,2.0,1228.0,1955,6037,282119.0
47,3,2.0,1719.0,1937,6037,444067.0
48,3,1.0,1150.0,1924,6037,56211.0
49,3,2.0,1288.0,1956,6037,432000.0
50,4,2.0,1782.0,1966,6037,207677.0
51,2,1.0,868.0,1938,6037,195894.0
52,3,2.0,1114.0,1960,6037,164877.0
53,3,2.0,1468.0,1954,6037,429900.0
54,3,2.0,1262.0,1953,6037,286794.0
55,4,3.0,1755.0,1953,6037,270666.0
56,3,2.0,1364.0,1958,6037,93786.0
57,5,2.0,1613.0,1954,6037,63531.0
58,3,2.0,1544.0,1954,6037,205252.0
59,3,2.0,1253.0,1953,6037,319813.0
60,2,2.0,1229.0,1960,6037,370566.0
61,2,1.0,843.0,1950,6037,246850.0
62,4,2.0,1570.0,1951,6037,133889.0
63,4,2.0,2324.0,1955,6037,313004.0
64,4,2.0,1394.0,1955,6037,336440.0
65,2,1.0,1205.0,1949,6037,66963.0
66,3,2.0,1098.0,1953,6037,385000.0
67,2,1.0,694.0,1953,6037,40555.0
68,3,1.0,880.0,1956,6037,193370.0
69,3,2.0,1264.0,1949,6037,92753.0
70,3,1.0,1014.0,1953,6037,51316.0
71,3,2.0,1397.0,1956,6037,374000.0
72,2,1.0,936.0,1923,6037,61005.0
73,4,3.0,2053.0,1948,6037,391610.0
74,3,2.0,1275.0,1953,6037,276329.0
75,2,1.0,1012.0,1948,6037,44612.0
76,3,2.0,1232.0,1948,6037,379282.0
77,2,1.0,1653.0,1928,6037,46958.0
78,3,2.0,1131.0,1953,6037,46963.0
79,2,1.0,969.0,1955,6037,44268.0
80,2,1.0,896.0,1950,6037,148967.0
81,3,1.0,978.0,1953,6037,51250.0
82,3,2.0,1178.0,1948,6037,136173.0
83,3,2.0,1404.0,1939,6037,341724.0
84,2,1.0,1313.0,1945,6037,206438.0
85,1,1.0,784.0,1948,6037,41635.0
86,3,1.0,1387.0,1954,6037,94844.0
87,2,1.0,1125.0,1980,6037,339111.0
88,2,1.0,750.0,1950,6037,43856.0
89,3,2.0,1406.0,1955,6037,460200.0
90,4,2.0,1365.0,1962,6037,431000.0
91,3,1.0,896.0,1952,6037,119390.0
92,3,3.0,1556.0,1955,6037,317333.0
93,3,2.0,1428.0,1937,6037,196834.0
94,2,1.0,1360.0,1953,6037,163190.0
95,4,2.0,1491.0,1969,6037,442000.0
96,3,2.0,1384.0,1951,6037,205000.0
97,4,2.0,1275.0,1955,6037,101017.0
98,2,1.0,900.0,1940,6037,354400.0
99,4,2.0,1810.0,1953,6037,69954.0
100,4,3.0,1524.0,1985,6037,393087.0
101,3,3.0,1764.0,1998,6037,256902.0
102,4,3.0,1764.0,1998,6037,460821.0
103,5,3.0,2360.0,1998,6037,311865.0
104,3,2.0,1796.0,1956,6037,426404.0
105,4,3.0,2107.0,1967,6037,528239.0
106,4,3.0,2308.0,1963,6037,407775.0
107,4,2.0,2223.0,1978,6037,744638.0
108,4,2.0,1910.0,1957,6037,282853.0
109,3,2.0,1692.0,1963,6037,428079.0
110,3,3.0,2584.0,1965,6037,626497.0
111,4,2.0,2112.0,1959,6037,650000.0
112,4,3.0,2338.0,1975,6037,685000.0
113,4,3.0,3983.0,1986,6037,620206.0
114,3,2.0,2041.0,1960,6037,559228.0
115,3,2.0,1896.0,1960,6037,376508.0
116,3,2.0,1477.0,1960,6037,408345.0
117,3,2.0,1879.0,1965,6037,436542.0
118,3,3.0,2267.0,1965,6037,145278.0
119,3,2.0,2280.0,1962,6037,496032.0
120,2,2.0,2043.0,1964,6037,294243.0
121,3,2.0,1359.0,1980,6037,331778.0
122,4,3.0,2032.0,1966,6037,286578.0
123,5,3.0,2591.0,2000,6037,359584.0
124,5,2.0,2078.0,1963,6037,119721.0
125,5,2.0,2450.0,1963,6037,179169.0
126,5,4.0,3519.0,1967,6037,388150.0
127,5,3.0,2625.0,1965,6037,286866.0
128,5,5.0,4416.0,1997,6037,948651.0
129,5,4.0,3093.0,1988,6037,499062.0
130,4,3.0,3301.0,1984,6037,642672.0
131,3,2.0,2183.0,1972,6037,670064.0
132,3,4.0,3981.0,1995,6037,516548.0
133,3,3.0,3145.0,1980,6037,871232.0
134,4,3.0,1857.0,1984,6037,316784.0
135,3,3.0,2051.0,1985,6037,272826.0
136,3,2.0,1649.0,1983,6037,348558.0
137,5,3.0,1904.0,1965,6037,187682.0
138,3,2.0,1572.0,1976,6037,305307.0
139,3,4.0,2316.0,1965,6037,304665.0
140,3,2.0,1816.0,1969,6037,241937.0
141,3,2.0,1316.0,1959,6037,283826.0
142,3,2.0,1288.0,1960,6037,343473.0
143,3,2.0,1134.0,1962,6037,282829.0
144,3,2.0,1528.0,1960,6037,289519.0
