,bedroom_count,bath_count,finished_sq_feet,home_value,year_built,tax_amount,fips
0,2.0,1.0,1412.0,222671.0,1947.0,2954.03,6037.0
1,3.0,2.0,1296.0,64968.0,1955.0,909.28,6037.0
2,3.0,1.0,1044.0,126800.0,1947.0,1767.69,6037.0
3,3.0,2.0,1336.0,213833.0,1955.0,2699.34,6037.0
4,3.0,2.0,1510.0,338022.0,1979.0,4166.31,6037.0
5,3.0,2.0,1540.0,139081.0,1955.0,1624.63,6037.0
6,3.0,2.0,2573.0,572000.0,1949.0,7128.85,6037.0
7,3.0,1.0,1097.0,390333.0,1951.0,4713.88,6037.0
8,3.0,2.0,1437.0,279219.0,1954.0,3484.75,6037.0
9,3.0,3.0,1778.0,263032.0,1951.0,3239.76,6037.0
10,3.0,1.0,1300.0,218095.0,1913.0,2806.97,6037.0
11,3.0,2.0,1379.0,461335.0,1955.0,5650.23,6037.0
12,3.0,1.0,1065.0,172633.0,1951.0,2104.67,6037.0
13,3.0,2.0,1678.0,357142.0,1953.0,4339.23,6037.0
14,2.0,1.0,1184.0,47874.0,1949.0,627.68,6037.0
15,3.0,1.0,1100.0,89885.0,1947.0,1125.92,6037.0
16,3.0,2.0,1300.0,267494.0,1955.0,3336.04,6037.0
17,4.0,3.0,1689.0,240974.0,1952.0,3093.31,6037.0
18,5.0,3.0,2307.0,226062.0,1951.0,2841.91,6037.0
19,4.0,2.0,1833.0,225875.0,1950.0,2773.11,6037.0
20,3.0,2.0,1270.0,254855.0,2002.0,3174.26,6037.0
21,3.0,2.0,1428.0,346320.0,1960.0,4352.31,6037.0
22,3.0,1.0,1206.0,168196.0,1951.0,2141.2,6037.0
23,3.0,2.0,1262.0,185719.0,1953.0,2346.42,6037.0
24,3.0,2.0,2416.0,266617.0,1954.0,3487.66,6037.0
25,3.0,2.0,1217.0,62912.0,1954.0,945.24,6037.0
26,3.0,2.0,1342.0,390328.0,1953.0,4773.26,6037.0
27,3.0,2.0,1116.0,388000.0,1952.0,4734.18,6037.0
28,3.0,2.0,1422.0,270430.0,1952.0,3343.8,6037.0
29,3.0,2.0,1833.0,292128.0,1951.0,3703.14,6037.0
30,3.0,1.0,1111.0,240574.0,1951.0,3065.04,6037.0
31,3.0,2.0,1492.0,338073.0,1952.0,4233.03,6037.0
32,3.0,2.0,1315.0,66636.0,1949.0,909.34,6037.0
33,3.0,2.0,1176.0,282827.0,1949.0,3480.81,6037.0
34,3.0,1.0,1014.0,287502.0,1949.0,3534.99,6037.0
35,3.0,1.0,1056.0,362435.0,1948.0,4454.54,6037.0
36,3.0,2.0,1494.0,223647.0,1949.0,2804.38,6037.0
37,3.0,1.0,1056.0,324166.0,1948.0,4065.77,6037.0
38,3.0,1.0,1410.0,155733.0,1949.0,1973.81,6037.0
39,4.0,3.0,2164.0,488200.0,1969.0,6035.22,6037.0
40,3.0,1.0,1040.0,59600.0,1951.0,756.43,6037.0
41,2.0,2.0,1372.0,259953.0,1951.0,3304.33,6037.0
42,6.0,3.0,2399.0,353854.0,1963.0,4517.13,6037.0
43,4.0,2.0,1640.0,198427.0,1953.0,2441.72,6037.0
44,2.0,1.0,799.0,230854.0,1939.0,2795.2,6037.0
45,4.0,2.0,1649.0,146786.0,1943.0,1829.27,6037.0
46,3.0,2.0,1228.0,282119.0,1955.0,3512.84,6037.0
47,3.0,2.0,1719.0,444067.0,1937.0,5457.85,6037.0
48,3.0,1.0,1150.0,56211.0,1924.0,811.38,6037.0
49,3.0,2.0,1288.0,432000.0,1956.0,5296.94,6037.0
50,4.0,2.0,1782.0,207677.0,1966.0,2600.22,6037.0
51,2.0,1.0,868.0,195894.0,1938.0,2464.89,6037.0
52,3.0,2.0,1114.0,164877.0,1960.0,2167.37,6037.0
53,3.0,2.0,1468.0,429900.0,1954.0,5246.39,6037.0
54,3.0,2.0,1262.0,286794.0,1953.0,3615.56,6037.0
55,4.0,3.0,1755.0,270666.0,1953.0,3360.74,6037.0
56,3.0,2.0,1364.0,93786.0,1958.0,1262.77,6037.0
57,5.0,2.0,1613.0,63531.0,1954.0,909.69,6037.0
58,3.0,2.0,1544.0,205252.0,1954.0,2659.87,6037.0
59,3.0,2.0,1253.0,319813.0,1953.0,3944.95,6037.0
60,2.0,2.0,1229.0,370566.0,1960.0,4480.34,6037.0
61,2.0,1.0,843.0,246850.0,1950.0,3061.49,6037.0
62,4.0,2.0,1570.0,133889.0,1951.0,1732.6,6037.0
63,4.0,2.0,2324.0,313004.0,1955.0,3923.2,6037.0
64,4.0,2.0,1394.0,336440.0,1955.0,4122.38,6037.0
65,2.0,1.0,1205.0,66963.0,1949.0,919.24,6037.0
66,3.0,2.0,1098.0,385000.0,1953.0,4704.71,6037.0
67,2.0,1.0,694.0,40555.0,1953.0,509.49,6037.0
68,3.0,1.0,880.0,193370.0,1956.0,2422.13,6037.0
69,3.0,2.0,1264.0,92753.0,1949.0,1253.73,6037.0
70,3.0,1.0,1014.0,51316.0,1953.0,777.52,6037.0
71,3.0,2.0,1397.0,374000.0,1956.0,4539.84,6037.0
72,2.0,1.0,936.0,61005.0,1923.0,860.09,6037.0
73,4.0,3.0,2053.0,391610.0,1948.0,4848.29,6037.0
74,3.0,2.0,1275.0,276329.0,1953.0,3436.07,6037.0
75,2.0,1.0,1012.0,44612.0,1948.0,581.2,6037.0
76,3.0,2.0,1232.0,379282.0,1948.0,4654.42,6037.0
77,2.0,1.0,1653.0,46958.0,1928.0,710.32,6037.0
78,3.0,2.0,1131.0,46963.0,1953.0,695.6,6037.0
79,2.0,1.0,969.0,44268.0,1955.0,576.4,6037.0
80,2.0,1.0,896.0,148967.0,1950.0,1911.17,6037.0
81,3.0,1.0,978.0,51250.0,1953.0,742.05,6037.0
82,3.0,2.0,1178.0,136173.0,1948.0,1735.88,6037.0
83,3.0,2.0,1404.0,341724.0,1939.0,4310.52,6037.0
84,2.0,1.0,1313.0,206438.0,1945.0,6514.88,6037.0
85,1.0,1.0,784.0,41635.0,1948.0,615.93,6037.0
86,3.0,1.0,1387.0,94844.0,1954.0,1294.3,6037.0
87,2.0,1.0,1125.0,339111.0,1980.0,4134.92,6037.0
88,2.0,1.0,750.0,43856.0,1950.0,697.53,6037.0
89,3.0,2.0,1406.0,460200.0,1955.0,5727.6,6037.0
90,4.0,2.0,1365.0,431000.0,1962.0,6769.69,6037.0
91,3.0,1.0,896.0,119390.0,1952.0,1522.98,6037.0
